"filename", "language", "Docker", "JSON", "JSON with Comments", "Markdown", "TypeScript", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\passing-rate-prediction\passing-rate-prediction.component.ts", "TypeScript", 0, 0, 0, 0, 122, 0, 0, 0, 0, 8, 130
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-coursecompletion\predict-coursecompletion.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-coursecompletion\predict-coursecompletion.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-coursecompletion\predict-coursecompletion.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-coursecompletion\predict-coursecompletion.component.ts", "TypeScript", 0, 0, 0, 0, 75, 0, 0, 0, 0, 5, 80
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-exam-success\predict-exam-success.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-exam-success\predict-exam-success.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-exam-success\predict-exam-success.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\predict-exam-success\predict-exam-success.component.ts", "TypeScript", 0, 0, 0, 0, 85, 0, 0, 0, 0, 5, 90
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\presentation-skills\presentation-skills.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\presentation-skills\presentation-skills.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\presentation-skills\presentation-skills.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\presentation-skills\presentation-skills.component.ts", "TypeScript", 0, 0, 0, 0, 392, 0, 0, 0, 5, 14, 411
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\procrastination\procrastination.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\procrastination\procrastination.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\procrastination\procrastination.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\procrastination\procrastination.component.ts", "TypeScript", 0, 0, 0, 0, 116, 0, 0, 0, 0, 5, 121
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\reading-analytics\reading-analytics.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\reading-analytics\reading-analytics.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 8
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\reading-analytics\reading-analytics.component.spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 6, 26
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\reading-analytics\reading-analytics.component.ts", "TypeScript", 0, 0, 0, 0, 73, 0, 0, 0, 0, 6, 79
"c:\Users\Ahmad\Documents\GitHub\OpenLAIR2.0\frontend\src\app\charts\self-motivation\self-motivation.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
